Initializing I2C devices...									
Testing device connections...									
ax	ay	az			0		INC_ax	INC_ay	INC_az
1810	-59	21073	2	-			4231	5840	-26110
6041	5781	-5037	2	-			-8228	-6308	14093
-2187	-527	9056	2	-			3128	2320	-4278
941	1793	4778	2	-			-1307	-1268	-868
-366	525	3910	2	-			254	-3	-3720
-112	522	190	2	-			505	-550	1044
393	-28	1234	2	-			244	-431	1817
637	-459	3051	2	-			-597	136	-1024
40	-323	2027	2	-			-120	-170	-495
-80	-493	1532	2	-			84	20	954
4	-473	2486	2	-			-192	151	-1098
-188	-322	1388	2	-			2	-12	-14
-186	-334	1374	2	-			105	-229	888
-81	-563	2262	2	-			-37	292	-404
-118	-271	1858	2	-			-12	7	311
-130	-264	2169	2	-			261	378	518
131	114	2687	2	-			8	-91	-635
139	23	2052	2	-			-93	-98	210
46	-75	2262	2	-			84	-117	45
130	-192	2307	2	-			-44	-324	-484
86	-516	1823	2	-			-14	131	300
72	-385	2123	2	-			-39	48	125
33	-337	2248	2	-			-49	-100	-94
-16	-437	2154	2	-			12	234	346
-4	-203	2500	2	-			89	-2	60
85	-205	2560	2	-			-4	130	67
81	-75	2627	2	-			10	208	232
91	133	2859	2	-			60	178	158
151	311	3017	2	-			-44	109	-4
107	420	3013	2	-			-8	-13	-101
99	407	2912	2	-			0	-50	-84
99	357	2828	2	-			26	-75	-194
125	282	2634	2	-			-54	-79	-110
71	203	2524	2	-			-11	-38	-95
60	165	2429	2	-			-13	-39	-75
47	126	2354	2	-			-56	-26	-42
-9	100	2312	2	-			-20	11	-34
-29	111	2278	2	-			-32	33	-38
-61	144	2240	2	-			-19	17	-1
-80	161	2239	2	-			-26	27	-70
-106	188	2169	2	-			32	-9	-94
-74	179	2075	2	-			2	-15	-70
-72	164	2005	2	-			13	-12	-45
-59	152	1960	2	-			15	-12	-87
-44	140	1873	2	-			-6	-23	-77
-50	117	1796	2	-			8	-13	-52
-42	104	1744	2	-			-11	-26	-65
-53	78	1679	2	-			10	-12	-35
-43	66	1644	2	-			-22	3	-74
-65	69	1570	2	-			-3	26	-32
-68	95	1538	2	-			-3	4	-30
-71	99	1508	2	-			-37	19	-23
-108	118	1485	2	-			23	-19	-90
-85	99	1395	2	-			-13	11	-5
-98	110	1390	2	-			10	-40	-58
-88	70	1332	2	-			-37	-20	-57
-125	50	1275	2	-			22	-7	-45
-103	43	1230	2	-			-9	-15	-56
-112	28	1174	2	-			-36	-7	-48
-148	21	1126	2	-			28	-15	-45
-120	6	1081	2	-			-58	-1	-34
-178	5	1047	2	-			10	-14	-23
-168	-9	1024	2	-			-3	-12	-9
-171	-21	1015	2	-			21	-19	-37
-150	-40	978	2	-			11	-5	-33
-139	-45	945	2	-			27	-8	-18
-112	-53	927	2	-			23	2	-3
-89	-51	924	2	-			-4	-6	-7
-93	-57	917	2	-			-11	14	-8
-104	-43	909	2	-			-15	16	29
-119	-27	938	2	-			-18	-10	-7
-137	-37	931	2	-			11	-4	32
-126	-41	963	2	-			20	-12	39
-106	-53	1002	2	-			-34	-4	44
-140	-57	1046	2	-			34	-5	27
-106	-62	1073	2	-			-10	0	85
-116	-62	1158	2	-			-10	13	64
-126	-49	1222	2	-			13	0	74
-113	-49	1296	2	-			7	-3	55
-106	-52	1351	2	-			-22	-3	114
-128	-55	1465	2	-			-44	-43	284
-172	-98	1749	2	-			-7856	-14065	20137
-8028	-14163	21886	3	X+			21005	32764	497
12977	18601	22383	3	-			-13986	-19388	-22461
-1009	-787	-78	3	-			1804	1215	4503
795	428	4425	3	-			111	805	-1941
906	1233	2484	3	-			-1436	-725	-1579
-530	508	905	3	-			323	-434	677
-207	74	1582	3	-			574	-366	1163
367	-292	2745	3	-			-224	-86	-562
143	-378	2183	3	-			-111	-186	-144
32	-564	2039	3	-			-87	-10	452
-55	-574	2491	3	-			143	30	-741
88	-544	1750	3	-			44	161	-193
132	-383	1557	3	-			-150	386	662
-18	3	2219	3	-			64	6	-277
46	9	1942	3	-			-115	-116	305
-69	-107	2247	3	-			84	-266	244
15	-373	2491	3	-			36	-99	-78
51	-472	2413	3	-			-28	79	-41
23	-393	2372	3	-			-19	112	138
4	-281	2510	3	-			-14	-1	-75
-10	-282	2435	3	-			-38	68	-63
-48	-214	2372	3	-			14	364	314
-34	150	2686	3	-			39	211	147
5	361	2833	3	-			27	257	109
32	618	2942	3	-			43	73	-15
75	691	2927	3	-			82	44	-100
157	735	2827	3	-			86	-111	-160
243	624	2667	3	-			25	-140	-148
268	484	2519	3	-			-66	-109	-85
202	375	2434	3	-			-33	-111	-81
169	264	2353	3	-			-72	-83	-38
97	181	2315	3	-			-31	-4	-37
66	177	2278	3	-			-62	-64	-16
4	113	2262	3	-			-38	-25	-41
-34	88	2221	3	-			-17	-28	-44
-51	60	2177	3	-			-52	-25	-48
-103	35	2129	3	-			-10	3	-39
-113	38	2090	3	-			-8	-70	-77
-121	-32	2013	3	-			32	-60	-81
-89	-92	1932	3	-			11	-11	-23
-78	-103	1909	3	-			36	-55	-84
-42	-158	1825	3	-			-6	18	-45
-48	-140	1780	3	-			47	3	14
-1	-137	1794	3	-			5	30	-14
4	-107	1780	3	-			21	-24	-64
25	-131	1716	3	-			33	34	-19
58	-97	1697	3	-			2	7	3
60	-90	1700	3	-			61	-17	-51
121	-107	1649	3	-			-8	-12	-54
113	-119	1595	3	-			-44	74	-24
69	-45	1571	3	-			3	-55	25
72	-100	1596	3	-			-25	3	-16
47	-97	1580	3	-			-36	15	-94
11	-82	1486	3	-			-31	10	-30
-20	-72	1456	3	-			-15	0	-37
-35	-72	1419	3	-			-30	25	-40
-65	-47	1379	3	-			-21	0	-48
-86	-47	1331	3	-			5	-4	-27
-81	-51	1304	3	-			-3	17	-30
-84	-34	1274	3	-			14	27	-33
-70	-7	1241	3	-			-5	23	-20
-75	16	1221	3	-			20	6	-30
-55	22	1191	3	-			-18	17	-23
-73	39	1168	3	-			9	-12	-17
-64	27	1151	3	-			-2	30	-19
-66	57	1132	3	-			-13	-17	-28
-79	40	1104	3	-			7	24	-24
-72	64	1080	3	-			-24	-4	-13
-96	60	1067	3	-			-7	14	-31
-103	74	1036	3	-			-10	2	0
-113	76	1036	3	-			-5	-2	-36
-118	74	1000	3	-			17	3	24
-101	77	1024	3	-			-9	-6	6
-110	71	1030	3	-			-14	-19	3
-124	52	1033	3	-			1	-42	42
-123	10	1075	3	-			-28	-28	44
-151	-18	1119	3	-			-23	-32	31
-174	-50	1150	3	-			18	-29	74
-156	-79	1224	3	-			-40	-19	81
-196	-98	1305	3	-			7	12	83
-189	-86	1388	3	-			-2696	6179	4355
-2885	6093	5743	3	-			1354	-20876	6536
-1531	-14783	12279	4	Y+			4525	20909	-12827
2994	6126	-548	4	-			-3839	-8291	5010
-845	-2165	4462	4	-			2047	2651	-616
1202	486	3846	4	-			-1194	-305	-807
8	181	3039	4	-			-252	368	-1969
-244	549	1070	4	-			161	-174	729
-83	375	1799	4	-			346	-415	830
263	-40	2629	4	-			207	14	-269
470	-26	2360	4	-			-176	-392	-299
294	-418	2061	4	-			-208	-85	165
86	-503	2226	4	-			36	150	-564
122	-353	1662	4	-			-16	-101	-127
106	-454	1535	4	-			-34	170	445
72	-284	1980	4	-			71	159	64
143	-125	2044	4	-			20	34	233
163	-91	2277	4	-			119	-150	24
282	-241	2301	4	-			-43	-129	13
239	-370	2314	4	-			-51	18	62
188	-352	2376	4	-			-111	-17	-1
77	-369	2375	4	-			-130	-51	-109
-53	-420	2266	4	-			-19	12	21
-72	-408	2287	4	-			-29	3	-36
-101	-405	2251	4	-			-1	167	-5
-102	-238	2246	4	-			-8	376	321
-110	138	2567	4	-			40	237	128
-70	375	2695	4	-			-28	133	34
-98	508	2729	4	-			49	56	-45
-49	564	2684	4	-			91	-45	-112
42	519	2572	4	-			35	-63	-51
77	456	2521	4	-			12	-94	-176
89	362	2345	4	-			40	-105	-58
129	257	2287	4	-			-1	-80	-25
128	177	2262	4	-			-49	-35	-66
79	142	2196	4	-			15	-39	-47
94	103	2149	4	-			-28	0	-21
66	103	2128	4	-			-53	-2	-48
13	101	2080	4	-			3	-16	-18
16	85	2062	4	-			-7	-24	-39
9	61	2023	4	-			-11	-39	-38
-2	22	1985	4	-			0	-12	-25
-2	10	1960	4	-			1	-53	-67
-1	-43	1893	4	-			-52	-1	-29
-53	-44	1864	4	-			19	-7	-43
-34	-51	1821	4	-			-8	4	-12
-42	-47	1809	4	-			3	-10	-47
-39	-57	1762	4	-			-9	30	-47
-48	-27	1715	4	-			14	2	2
-34	-25	1717	4	-			-11	6	-20
-45	-19	1697	4	-			-6	48	21
-51	29	1718	4	-			72	-30	-2
21	-1	1716	4	-			-28	-24	-49
-7	-25	1667	4	-			-31	57	-11
-38	32	1656	4	-			-3	37	74
-41	69	1730	4	-			50	-68	-35
9	1	1695	4	-			-11	31	-73
-2	32	1622	4	-			4	-4	-10
2	28	1612	4	-			-23	-20	-19
-21	8	1593	4	-			26	-7	-21
5	1	1572	4	-			-15	2	-58
-10	3	1514	4	-			-27	11	-40
-37	14	1474	4	-			8	4	-63
-29	18	1411	4	-			-40	-15	-8
-69	3	1403	4	-			-19	-11	-64
-88	-8	1339	4	-			-21	-18	-74
-109	-26	1265	4	-			-18	-8	-58
-127	-34	1207	4	-			-49	-7	-56
-176	-41	1151	4	-			-23	0	-51
-199	-41	1100	4	-			22	-18	-54
-177	-59	1046	4	-			-36	-5	-25
-213	-64	1021	4	-			31	-40	-49
-182	-104	972	4	-			4	-12	-27
-178	-116	945	4	-			22	7	-18
-156	-109	927	4	-			-24	23	-11
-180	-86	916	4	-			51	22	16
-129	-64	932	4	-			-5	-10	7
-134	-74	939	4	-			8	23	36
-126	-51	975	4	-			8	-22	-11
-118	-73	964	4	-			-36	3	52
-154	-70	1016	4	-			17	-17	63
-137	-87	1079	4	-			2209	-2065	3883
2072	-2152	4962	4	-			-8200	4629	5605
-6128	2477	10567	5	Z-			4157	-5429	-9461
-1971	-2952	1106	5	-			2040	4929	3584
69	1977	4690	5	-			1351	-1654	-2655
1420	323	2035	5	-			-1369	-296	-948
51	27	1087	5	-			-213	32	548
-162	59	1635	5	-			365	-76	964
203	-17	2599	5	-			-6	-36	-170
197	-53	2429	5	-			-233	-55	-684
-36	-108	1745	5	-			258	-151	1032
222	-259	2777	5	-			3	112	-978
225	-147	1799	5	-			-240	-266	-402
-15	-413	1397	5	-			-61	38	706
-76	-375	2103	5	-			167	61	-346
91	-314	1757	5	-			-42	348	288
49	34	2045	5	-			102	-63	548
151	-29	2593	5	-			260	-256	-364
411	-285	2229	5	-			21	-68	89
432	-353	2318	5	-			-23	-12	192
409	-365	2510	5	-			-43	4	-183
366	-361	2327	5	-			-171	52	93
195	-309	2420	5	-			-197	-41	308
-2	-350	2728	5	-			15	-9	-181
13	-359	2547	5	-			-221	239	200
-208	-120	2747	5	-			-72	281	336
-280	161	3083	5	-			51	259	108
-229	420	3191	5	-			-62	106	-26
-291	526	3165	5	-			121	12	-143
-170	538	3022	5	-			100	-49	-185
-70	489	2837	5	-			44	-57	-101
-26	432	2736	5	-			18	-61	-140
-8	371	2596	5	-			49	-63	-138
41	308	2458	5	-			35	-79	-19
76	229	2439	5	-			-18	-53	-38
58	176	2401	5	-			38	-36	-70
96	140	2331	5	-			10	-20	-27
106	120	2304	5	-			-55	-20	-64
51	100	2240	5	-			-41	-33	-68
10	67	2172	5	-			35	11	-39
45	78	2133	5	-			-93	-10	-83
-48	68	2050	5	-			41	-17	-80
-7	51	1970	5	-			-20	-32	-88
-27	19	1882	5	-			-69	-42	-64
-96	-23	1818	5	-			51	-10	-78
-45	-33	1740	5	-			-28	-15	-66
-73	-48	1674	5	-			1	1	-53
-72	-47	1621	5	-			12	-11	-54
-60	-58	1567	5	-			11	-10	-71
-49	-68	1496	5	-			-40	35	-12
-89	-33	1484	5	-			8	22	-44
-81	-11	1440	5	-			25	12	-35
-56	1	1405	5	-			-60	27	-14
-116	28	1391	5	-			8	11	-45
-108	39	1346	5	-			10	16	-21
-98	55	1325	5	-			-24	5	-11
-122	60	1314	5	-			11	9	-59
-111	69	1255	5	-			33	18	-42
-78	87	1213	5	-			-50	6	-34
-128	93	1179	5	-			16	-21	-23
-112	72	1156	5	-			17	2	-32
-95	74	1124	5	-			-36	18	-57
-131	92	1067	5	-			6	-14	-61
-125	78	1006	5	-			7	-22	-14
-118	56	992	5	-			-19	-6	-57
-137	50	935	5	-			-24	-32	-27
-161	18	908	5	-			31	-5	-26
-130	13	882	5	-			7	14	-25
-123	27	857	5	-			-6	2	-9
-129	29	848	5	-			-1	8	-24
-130	37	824	5	-			-5	-8	21
-135	29	845	5	-			-25	-2	2
-160	27	847	5	-			14	-5	8
-146	22	855	5	-			-7	-26	29
-153	-4	884	5	-			-19	2	35
-172	-2	919	5	-			18	-15	49
-154	-17	968	5	-			-59	-35	55
-213	-52	1023	5	-			-10	-10	79
-223	-62	1102	5	-			22	-47	56
-201	-109	1158	5	-			-30	-12	92
-231	-121	1250	5	-			6	-17	90
-225	-138	1340	5	-			5	9	81
-220	-129	1421	5	-			18	11	73
-202	-118	1494	5	-			-15	36	120
-217	-82	1614	5	-			9	-1	128
-208	-83	1742	5	-			-8336	-15653	21112
-8544	-15736	22854	6	X+			14075	13882	-17473
5531	-1854	5381	6	-			-6608	-660	-3849
-1077	-2514	1532	6	-			-229	5601	-378
-1306	3087	1154	6	-			2830	-1630	1142
1524	1457	2296	6	-			-1772	-1308	22
-248	149	2318	6	-			-28	21	-1153
-276	170	1165	6	-			399	-505	784
123	-335	1949	6	-			429	43	764
552	-292	2713	6	-			-273	-226	-717
279	-518	1996	6	-			-184	-183	17
95	-701	2013	6	-			109	61	84
204	-640	2097	6	-			-131	22	-530
73	-618	1567	6	-			3	-71	1
76	-689	1568	6	-			81	255	442
157	-434	2010	6	-			-202	297	194
-45	-137	2204	6	-			54	146	95
9	9	2299	6	-			126	-139	147
135	-130	2446	6	-			166	-185	-276
301	-315	2170	6	-			-17	18	115
284	-297	2285	6	-			-14	84	-28
270	-213	2257	6	-			0	15	-251
270	-198	2006	6	-			-138	1	220
132	-197	2226	6	-			-11	-74	-54
121	-271	2172	6	-			-102	21	4
19	-250	2176	6	-			-52	199	174
-33	-51	2350	6	-			12	142	142
-21	91	2492	6	-			-55	253	254
-76	344	2746	6	-			-80	174	95
-156	518	2841	6	-			16	57	-27
-140	575	2814	6	-			15	-30	-42
-125	545	2772	6	-			30	-30	-110
-95	515	2662	6	-			40	-55	-115
-55	460	2547	6	-			30	-78	-117
-25	382	2430	6	-			31	-110	-93
6	272	2337	6	-			-4	-40	-40
2	232	2297	6	-			-21	-88	-66
-19	144	2231	6	-			-17	-50	8
-36	94	2239	6	-			-29	-17	-46
-65	77	2193	6	-			28	-33	-16
-37	44	2177	6	-			-35	-15	-31
-72	29	2146	6	-			58	-64	-57
-14	-35	2089	6	-			44	3	-56
30	-32	2033	6	-			-14	-44	-22
16	-76	2011	6	-			29	-23	-60
45	-99	1951	6	-			6	-7	-60
51	-106	1891	6	-			10	-25	-47
61	-131	1844	6	-			-24	40	-30
37	-91	1814	6	-			-10	24	-64
27	-67	1750	6	-			-30	13	8
-3	-54	1758	6	-			3	13	-60
0	-41	1698	6	-			-28	7	-59
-28	-34	1639	6	-			-8	66	-12
-36	32	1627	6	-			34	-29	-17
-2	3	1610	6	-			6	11	-48
4	14	1562	6	-			13	31	-67
17	45	1495	6	-			-13	4	-30
4	49	1465	6	-			14	-2	-58
18	47	1407	6	-			-54	1	-42
-36	48	1365	6	-			-4	8	-52
-40	56	1313	6	-			-14	-1	-59
-54	55	1254	6	-			-31	-4	-30
-85	51	1224	6	-			-21	4	-47
-106	55	1177	6	-			-25	2	-52
-131	57	1125	6	-			-1	-3	-51
-132	54	1074	6	-			-21	-16	-14
-153	38	1060	6	-			-8	-17	-49
-161	21	1011	6	-			3	-31	-3
-158	-10	1008	6	-			-1	-41	-28
-159	-51	980	6	-			-12	-36	-17
-171	-87	963	6	-			26	-19	-19
-145	-106	944	6	-			-33	-5	12
-178	-111	956	6	-			13	-2	-6
-165	-113	950	6	-			24	5	-6
-141	-108	944	6	-			-16	21	38
-157	-87	982	6	-			7	-6	-13
-150	-93	969	6	-			-22	-5	27
-172	-98	996	6	-			-36	-20	57
-208	-118	1053	6	-			-11	-34	43
-219	-152	1096	6	-			-4	-9	79
-223	-161	1175	6	-			-10	-24	117
-233	-185	1292	6	-			-5296	9877	13986
-5529	9692	15278	7	Y-			2727	-19272	-11394
-2802	-9580	3884	7	-			13023	23222	12011
10221	13642	15895	7	-			-10710	-16762	-15246
-489	-3120	649	7	-			1676	3734	3783
1187	614	4432	7	-			-1264	-287	-1212
-77	327	3220	7	-			-382	163	-1526
-459	490	1694	7	-			308	-215	97
-151	275	1791	7	-			-38	-302	80
-189	-27	1871	7	-			240	-281	715
51	-308	2586	7	-			651	141	-287
702	-167	2299	7	-			-598	-364	-219
104	-531	2080	7	-			24	119	-254
128	-412	1826	7	-			-1	57	-88
127	-355	1738	7	-			-199	229	167
-72	-126	1905	7	-			96	75	-24
24	-51	1881	7	-			8	23	365
32	-28	2246	7	-			179	-164	-11
211	-192	2235	7	-			45	-89	13
256	-281	2248	7	-			7	89	37
263	-192	2285	7	-			-47	27	-14
216	-165	2271	7	-			-16	44	-121
200	-121	2150	7	-			-3	-27	-50
197	-148	2100	7	-			-50	-40	80
147	-188	2180	7	-			-126	10	172
21	-178	2352	7	-			-162	174	343
-141	-4	2695	7	-			-35	143	130
-176	139	2825	7	-			-111	146	111
-287	285	2936	7	-			27	77	-12
-260	362	2924	7	-			78	39	-43
-182	401	2881	7	-			117	-9	-136
-65	392	2745	7	-			112	-17	-134
47	375	2611	7	-			64	-21	-115
111	354	2496	7	-			10	-59	-62
121	295	2434	7	-			31	-35	-18
152	260	2416	7	-			-22	-46	-53
130	214	2363	7	-			-4	-16	11
126	198	2374	7	-			-12	-25	-42
114	173	2332	7	-			-29	-39	-38
85	134	2294	7	-			31	-43	-58
116	91	2236	7	-			-53	-77	-47
63	14	2189	7	-			-61	-36	-106
2	-22	2083	7	-			13	-50	-68
15	-72	2015	7	-			-73	-52	-87
-58	-124	1928	7	-			11	11	-71
-47	-113	1857	7	-			-27	-30	-71
-74	-143	1786	7	-			-28	-6	-65
-102	-149	1721	7	-			13	14	-45
-89	-135	1676	7	-			-1	3	-51
-90	-132	1625	7	-			-5	32	-48
-95	-100	1577	7	-			17	20	-23
-78	-80	1554	7	-			0	-2	-17
-78	-82	1537	7	-			-1	9	-29
-79	-73	1508	7	-			-14	48	-2
-93	-25	1506	7	-			39	-36	-46
-54	-61	1460	7	-			-9	7	-29
-63	-54	1431	7	-			-44	37	12
-107	-17	1443	7	-			51	-6	-17
-56	-23	1426	7	-			-17	27	-58
-73	4	1368	7	-			-9	2	-15
-82	6	1353	7	-			0	-4	-21
-82	2	1332	7	-			-29	9	-28
-111	11	1304	7	-			33	10	-19
-78	21	1285	7	-			-19	14	-52
-97	35	1233	7	-			-25	-15	-38
-122	20	1195	7	-			-6	7	2
-128	27	1197	7	-			-11	-4	-42
-139	23	1155	7	-			-6	-8	-36
-145	15	1119	7	-			-18	-6	-33
-163	9	1086	7	-			-22	-28	-46
-185	-19	1040	7	-			40	-23	-32
-145	-42	1008	7	-			-40	-18	-54
-185	-60	954	7	-			1	-8	-32
-184	-68	922	7	-			20	-24	-61
-164	-92	861	7	-			-7	-6	-16
-171	-98	845	7	-			-24	-18	-39
-195	-116	806	7	-			23	0	-18
-172	-116	788	7	-			-23	20	-14
-195	-96	774	7	-			-6	-5	-30
-201	-101	744	7	-			-20	3	8
-221	-98	752	7	-			-34	2	-22
-255	-96	730	7	-			-1	-30	14
-256	-126	744	7	-			-26	-25	97
-282	-151	841	7	-			-7367	-11636	16786
-7649	-11787	17627	8	X+			14157	7362	-7627
6508	-4425	10000	8	-			-7382	2155	-8747
-874	-2270	1253	8	-			-588	4101	1461
-1462	1831	2714	8	-			2046	-1373	189
584	458	2903	8	-			-610	-34	3
-26	424	2906	8	-			-150	-21	-2260
-176	403	646	8	-			247	-615	1184
71	-212	1830	8	-			449	-171	1018
520	-383	2848	8	-			-33	87	-716
487	-296	2132	8	-			-407	-63	-181
80	-359	1951	8	-			205	-146	-80
285	-505	1871	8	-			-58	24	-186
227	-481	1685	8	-			-113	-130	-75
114	-611	1610	8	-			-125	303	284
-11	-308	1894	8	-			-108	423	140
-119	115	2034	8	-			75	12	154
-44	127	2188	8	-			107	10	107
63	137	2295	8	-			-7	-54	91
56	83	2386	8	-			-2	0	-76
54	83	2310	8	-			-39	-55	-60
15	28	2250	8	-			47	-48	-281
62	-20	1969	8	-			19	-27	32
81	-47	2001	8	-			122	-133	-218
203	-180	1783	8	-			-17	7	-27
186	-173	1756	8	-			-152	150	305
34	-23	2061	8	-			0	-5	-13
34	-28	2048	8	-			-21	-10	32
13	-38	2080	8	-			-30	105	135
-17	67	2215	8	-			51	-83	-148
34	-16	2067	8	-			16	31	-8
50	15	2059	8	-			24	34	66
74	49	2125	8	-			24	1	32
98	50	2157	8	-			44	27	-57
142	77	2100	8	-			38	86	106
180	163	2206	8	-			32	-41	-120
212	122	2086	8	-			30	-108	-175
242	14	1911	8	-			-67	15	200
175	29	2111	8	-			-57	59	138
118	88	2249	8	-			35	-31	-52
153	57	2197	8	-			-74	-45	50
79	12	2247	8	-			9	2	-7
88	14	2240	8	-			-38	-30	19
50	-16	2259	8	-			37	-58	-92
87	-74	2167	8	-			-43	-31	3
44	-105	2170	8	-			-3	-21	-47
41	-126	2123	8	-			49	43	-47
90	-83	2076	8	-			-26	-32	101
64	-115	2177	8	-			-84	-102	146
-20	-217	2323	8	-			-71	15	6
-91	-202	2329	8	-			-44	51	0
-135	-151	2329	8	-			-16	30	-12
-151	-121	2317	8	-			8	60	-76
-143	-61	2241	8	-			18	-22	67
-125	-83	2308	8	-			82	12	57
-43	-71	2365	8	-			41	17	7
-2	-54	2372	8	-			-24	31	13
-26	-23	2385	8	-			24	31	9
-2	8	2394	8	-			25	39	1
23	47	2395	8	-			16	48	6
39	95	2401	8	-			-16	7	-25
23	102	2376	8	-			14	-16	-3
37	86	2373	8	-			-35	254	-174
2	340	2199	8	-			-6	-129	39
-4	211	2238	8	-			-49	-109	46
-53	102	2284	8	-			-46	-29	18
-99	73	2302	8	-			76	66	51
-23	139	2353	8	-			62	-51	63
39	88	2416	8	-			-62	-14	16
-23	74	2432	8	-			9	-14	22
-14	60	2454	8	-			20	-30	-60
6	30	2394	8	-			-29	0	-38
-23	30	2356	8	-			-15	-10	-21
-38	20	2335	8	-			-11	2	-47
-49	22	2288	8	-			-21	2	-8
-70	24	2280	8	-			-21	31	-55
-91	55	2225	8	-			-29	7	-29
-120	62	2196	8	-			46	-6	-44
-74	56	2152	8	-			-40	-3	0
-114	53	2152	8	-			8	12	-90
-106	65	2062	8	-			28	5	-9
-78	70	2053	8	-			1	-49	-37
-77	21	2016	8	-			-1	-14	-22
-78	7	1994	8	-			8	-38	-14
-70	-31	1980	8	-			13	0	-3
-57	-31	1977	8	-			-1	11	13
-58	-20	1990	8	-			10	27	-2
-48	7	1988	8	-			-2	1	18
-50	8	2006	8	-			17	53	-4
-33	61	2002	8	-			15	31	25
-18	92	2027	8	-			-13	16	0
-31	108	2027	8	-			21	32	-2
-10	140	2025	8	-			-4	6	4
-14	146	2029	8	-			0	4	-2
-14	150	2027	8	-			-28	5	-1
-42	155	2026	8	-			22	26	-11
-20	181	2015	8	-			-13	4	16
-33	185	2031	8	-			-4	13	-12
-37	198	2019	8	-			24	-13	-8
-13	185	2011	8	-			-8	18	18
-21	203	2029	8	-			6	-20	-10
-15	183	2019	8	-			18	-17	-13
3	166	2006	8	-			10	-23	22
13	143	2028	8	-			18	-17	-3
31	126	2025	8	-			23	-19	4
54	107	2029	8	-			19	-25	39
73	82	2068	8	-			21	-2	17
94	80	2085	8	-			2	-5	59
96	75	2144	8	-			56	11	36
152	86	2180	8	-			19	12	7
171	98	2187	8	-			-15	-6	12
156	92	2199	8	-			23	-21	29
179	71	2228	8	-			-9	-1	11
170	70	2239	8	-			-37	20	-9
133	90	2230	8	-			-15	-50	23
118	40	2253	8	-			-28	1	-1
90	41	2252	8	-			13	-1	21
103	40	2273	8	-			-25	29	-23
78	69	2250	8	-			-4	-8	-1
74	61	2249	8	-			-21	33	-10
53	94	2239	8	-			-16	-3	-28
37	91	2211	8	-			-9	-6	-21
28	85	2190	8	-			-6	4	-11
22	89	2179	8	-			32	-60	-5
54	29	2174	8	-			-33	-10	-27
21	19	2147	8	-			16	-44	6
37	-25	2153	8	-			18	-28	5
55	-53	2158	8	-			32	-14	-4
87	-67	2154	8	-			48	19	-36
135	-48	2118	8	-			52	32	-66
187	-16	2052	8	-			60	-55	-13
247	-71	2039	8	-			-29	-44	-20
218	-115	2019	8	-			-11	-33	19
207	-148	2038	8	-			-54	-32	40
153	-180	2078	8	-			-30	-21	-26
123	-201	2052	8	-			2	0	-9
125	-201	2043	8	-			20	14	-44
145	-187	1999	8	-			12	46	-44
157	-141	1955	8	-			24	17	30
181	-124	1985	8	-			12	39	-14
193	-85	1971	8	-			-14	56	21
179	-29	1992	8	-			-3	24	51
176	-5	2043	8	-			-27	56	13
149	51	2056	8	-			-21	47	0
128	98	2056	8	-			-12	43	15
116	141	2071	8	-			-18	14	0
98	155	2071	8	-			-25	2	4
73	157	2075	8	-			-54	52	18
19	209	2093	8	-			-20	33	-24
-1	242	2069	8	-			-26	37	-38
-27	279	2031	8	-			9	-21	11
-18	258	2042	8	-			-34	-2	-17
-52	256	2025	8	-			10	-22	-23
-42	234	2002	8	-			1	-52	-17
-41	182	1985	8	-			14	-39	27
-27	143	2012	8	-			-12	-46	-26
-39	97	1986	8	-			25	-75	-9
-14	22	1977	8	-			14	-36	-4
0	-14	1973	8	-			40	-43	13
40	-57	1986	8	-			13	-14	-23
53	-71	1963	8	-			39	-55	8
92	-126	1971	8	-			47	-53	-17
139	-179	1954	8	-			35	-30	5
174	-209	1959	8	-			40	-22	10
214	-231	1969	8	-			30	-27	40
244	-258	2009	8	-			18	-7	56
262	-265	2065	8	-			8	0	44
270	-265	2109	8	-			4	36	57
274	-229	2166	8	-			9	42	33
283	-187	2199	8	-			22	20	6
305	-167	2205	8	-			-3	36	3
302	-131	2208	8	-			33	48	13
335	-83	2221	8	-			-30	47	22
305	-36	2243	8	-			3	18	2
308	-18	2245	8	-			-8	38	4
300	20	2249	8	-			-31	1	39
269	21	2288	8	-			-20	-24	-20
249	-3	2268	8	-			-17	-7	0
232	-10	2268	8	-			1	-26	-14
233	-36	2254	8	-			-28	23	-26
205	-13	2228	8	-			35	3	-23
240	-10	2205	8	-			22	-15	-82
262	-25	2123	8	-			17	-16	-12
279	-41	2111	8	-			13	-50	-8
292	-91	2103	8	-			18	-53	-19
310	-144	2084	8	-			-2	-10	-4
308	-154	2080	8	-			-16	-39	-13
292	-193	2067	8	-			22	-23	-13
314	-216	2054	8	-			-7	-9	-13
307	-225	2041	8	-			-19	-15	17
288	-240	2058	8	-			2	30	-6
290	-210	2052	8	-			-16	11	1
274	-199	2053	8	-			-18	22	-5
256	-177	2048	8	-			-15	-1	24
241	-178	2072	8	-			-3	10	-5
238	-168	2067	8	-			6	19	-1
244	-149	2066	8	-			0	10	-16
244	-139	2050	8	-			-1	-7	9
243	-146	2059	8	-			8	24	-11
251	-122	2048	8	-			6	37	-10
257	-85	2038	8	-			-26	-4	-13
231	-89	2025	8	-			15	37	-5
246	-52	2020	8	-			-5	9	-12
241	-43	2008	8	-			-9	-8	-34
232	-51	1974	8	-			-17	1	11
215	-50	1985	8	-			2	-23	-24
217	-73	1961	8	-			6	-8	-19
