Initializing I2C devices...									
Testing device connections...									
ax	ay	az			0		INC_ax	INC_ay	INC_az
9	0	2036	0	-			-21	23	9
-12	23	2045	0	-			-5	33	33
-17	56	2078	0	-			-24	17	-35
-41	73	2043	0	-			17	2	5
-24	75	2048	0	-			11	-26	22
-13	49	2070	0	-			50	-5	-17
37	44	2053	0	-			-16	-32	-4
21	12	2049	0	-			9	-9	-15
30	3	2034	0	-			2	-21	26
32	-18	2060	0	-			3	-29	-27
35	-47	2033	0	-			-9	-11	20
26	-58	2053	0	-			-9	-6	-6
17	-64	2047	0	-			-6	16	-7
11	-48	2040	0	-			-3	-6	16
8	-54	2056	0	-			-10	1	-5
-2	-53	2051	0	-			11	4	-24
9	-49	2027	0	-			6	-18	10
15	-67	2037	0	-			6	25	25
21	-42	2062	0	-			9	27	-22
30	-15	2040	0	-			-8	12	-13
22	-3	2027	0	-			-18	-3	46
4	-6	2073	0	-			11	-5	-19
15	-11	2054	0	-			-1	-15	-41
14	-26	2013	0	-			-2	5	32
12	-21	2045	0	-			9	7	4
21	-14	2049	0	-			-9	14	-9
12	0	2040	0	-			-5	-17	11
7	-17	2051	0	-			-9	8	11
-2	-9	2062	0	-			13	7	-20
11	-2	2042	0	-			5	-18	22
16	-20	2064	0	-			-10	-8	-2
6	-28	2062	0	-			-12	-6	-11
-6	-34	2051	0	-			-6	-15	4
-12	-49	2055	0	-			0	-4	9
-12	-53	2064	0	-			-12	-14	-6
-24	-67	2058	0	-			22	11	-12
-2	-56	2046	0	-			10	21	-3
8	-35	2043	0	-			19	30	8
27	-5	2051	0	-			-7	15	-11
20	10	2040	0	-			20	22	16
40	32	2056	0	-			13	13	2
53	45	2058	0	-			-21	-13	-28
32	32	2030	0	-			-9	-4	12
23	28	2042	0	-			-2	-1	1
21	27	2043	0	-			20	-7	6
41	20	2049	0	-			-28	1	-11
13	21	2038	0	-			1	-1	21
14	20	2059	0	-			-10	6	-20
4	26	2039	0	-			19	9	-10
23	35	2029	0	-			-23	7	20
0	42	2049	0	-			18	-15	2
18	27	2051	0	-			-8	-15	-28
10	12	2023	0	-			15	-22	30
25	-10	2053	0	-			-21	16	-7
4	6	2046	0	-			13	-10	-16
17	-4	2030	0	-			-3	8	42
14	4	2072	0	-			-11	-11	-31
3	-7	2041	0	-			3	17	-6
6	10	2035	0	-			-2	-4	9
4	6	2044	0	-			-36	57	19
-32	63	2063	0	-			-4	4	4
-36	67	2067	0	-			-13	14	4
-49	81	2071	0	-			42	-42	12
-7	39	2083	0	-			5	-13	-24
-2	26	2059	0	-			45	-62	-11
43	-36	2048	0	-			15	-25	-3
58	-61	2045	0	-			25	-39	30
83	-100	2075	0	-			7	-3	-29
90	-103	2046	0	-			1	29	2
91	-74	2048	0	-			-48	46	49
43	-28	2097	0	-			-30	-48	-18
13	-76	2079	0	-			-42	-6	13
-29	-82	2092	0	-			-11	14	30
-40	-68	2122	0	-			-4	-39	-25
-44	-107	2097	0	-			13	20	34
-31	-87	2131	0	-			28	31	-4
-3	-56	2127	0	-			25	11	-15
22	-45	2112	0	-			0	28	15
22	-17	2127	0	-			10	40	34
32	23	2161	0	-			0	6	26
32	29	2187	0	-			-9	23	10
23	52	2197	0	-			-3	-10	1
20	42	2198	0	-			-9	-7	-2
11	35	2196	0	-			-17	2	49
-6	37	2245	0	-			-13	-14	51
-19	23	2296	0	-			-5	-17	38
-24	6	2334	0	-			-35	14	19
-59	20	2353	0	-			-6	22	59
-65	42	2412	0	-			-27	27	42
-92	69	2454	0	-			10	42	6
-82	111	2460	0	-			7	9	5
-75	120	2465	0	-			7	4	1
-68	124	2466	0	-			7	-4	-6
-61	120	2460	0	-			19	11	-4
-42	131	2456	0	-			10	-11	-8
-32	120	2448	0	-			28	-5	-23
-4	115	2425	0	-			20	-29	-6
16	86	2419	0	-			5	-11	-6
21	75	2413	0	-			2	-15	-20
23	60	2393	0	-			35	-14	-19
58	46	2374	0	-			27	-50	-6
85	-4	2368	0	-			10	-17	-29
95	-21	2339	0	-			31	-1	-20
126	-22	2319	0	-			15	-51	-19
141	-73	2300	0	-			12	-32	-107
153	-105	2193	0	-			-31	54	-29
122	-51	2164	0	-			9	23	0
131	-28	2164	0	-			0	-50	-42
131	-78	2122	0	-			-38	-8	-63
93	-86	2059	0	-			-11	-3	-9
82	-89	2050	0	-			-22	-25	-17
60	-114	2033	0	-			-22	-31	-15
38	-145	2018	0	-			-16	-13	-29
22	-158	1989	0	-			-13	-12	-32
9	-170	1957	0	-			-31	0	-31
-22	-170	1926	0	-			-19	12	-12
-41	-158	1914	0	-			-8	-11	-27
-49	-169	1887	0	-			-20	4	-14
-69	-165	1873	0	-			-24	6	11
-93	-159	1884	0	-			-5	19	13
-98	-140	1897	0	-			-12	27	-10
-110	-113	1887	0	-			4	9	-1
-106	-104	1886	0	-			13	49	12
-93	-55	1898	0	-			16	18	5
-77	-37	1903	0	-			-6	18	16
-83	-19	1919	0	-			21	34	15
-62	15	1934	0	-			8	19	5
-54	34	1939	0	-			12	4	3
-42	38	1942	0	-			10	33	17
-32	71	1959	0	-			3	26	-5
-29	97	1954	0	-			9	15	17
-20	112	1971	0	-			-10	0	8
-30	112	1979	0	-			0	0	-22
-30	112	1957	0	-			10	-9	28
-20	103	1985	0	-			3	-8	9
-17	95	1994	0	-			19	-11	-8
2	84	1986	0	-			11	12	-18
13	96	1968	0	-			-10	-30	-21
3	66	1947	0	-			-2	10	10
1	76	1957	0	-			14	9	3
15	85	1960	0	-			-9	-3	-11
6	82	1949	0	-			7	8	-33
13	90	1916	0	-			1	-4	-16
14	86	1900	0	-			-20	-21	-8
-6	65	1892	0	-			21	-6	-20
15	59	1872	0	-			-1	-10	-36
14	49	1836	0	-			6	-11	6
20	38	1842	0	-			-13	-6	-4
7	32	1838	0	-			28	-4	-30
35	28	1808	0	-			-16	-26	7
19	2	1815	0	-			-5	0	-21
14	2	1794	0	-			-14	3	12
0	5	1806	0	-			-23	-4	-11
-23	1	1795	0	-			-34	23	-14
-57	24	1781	0	-			-14	13	-4
-71	37	1777	0	-			-8	-2	24
-79	35	1801	0	-			-4	38	10
-83	73	1811	0	-			-3	6	3
-86	79	1814	0	-			-2	1	1
-88	80	1815	0	-			13	20	-5
-75	100	1810	0	-			2	-18	15
-73	82	1825	0	-			18	11	-5
-55	93	1820	0	-			12	-9	16
-43	84	1836	0	-			18	21	6
-25	105	1842	0	-			12	17	26
-13	122	1868	0	-			1	0	23
-12	122	1891	0	-			2	1	3
-10	123	1894	0	-			15	8	4
5	131	1898	0	-			2	-6	12
7	125	1910	0	-			-11	15	12
-4	140	1922	0	-			2	-7	-23
-2	133	1899	0	-			-3	19	-1
-5	152	1898	0	-			11	-15	3
6	137	1901	0	-			9	24	1
15	161	1902	0	-			-15	-32	17
